link,name,price,image
https://www.glassesshop.com/eyeglasses/fm1286,Lyndon,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b5fc1d09945c.jpg"
https://www.glassesshop.com/eyeglasses/fp1719,Jean,$24.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201902/5c7757050ca47.jpg"
https://www.glassesshop.com/eyeglasses/fp1694,Lexingto,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b03be967b506.jpg"
https://www.glassesshop.com/eyeglasses/fp1661,Derrick,$24.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5af16009d7b28.jpg"
https://www.glassesshop.com/eyeglasses/fp1438,Prince,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb91ab52f793.jpg"
https://www.glassesshop.com/eyeglasses/fz1250,Vivian,$29.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc4f0f37405.jpg"
https://www.glassesshop.com/eyeglasses/fz1461,Prairie,$34.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202005/5eb913470af6b.jpg"
https://www.glassesshop.com/eyeglasses/fp1508,Bruno,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201807/5b3b102ed9395.jpg"
https://www.glassesshop.com/eyeglasses/fz1158,Enoch,$29.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201805/5b0fae276f84e.jpg"
https://www.glassesshop.com/eyeglasses/sup1074,Uvalde,$9.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202103/60457fdbce7bd.jpg"
https://www.glassesshop.com/eyeglasses/sup0711,Marlowe,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd89da12.jpg"
https://www.glassesshop.com/eyeglasses/sm0860,Willie,$19.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg"
https://www.glassesshop.com/eyeglasses/fp1923,Bray,$12.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202101/5fffb4b75dafe.jpg"
https://www.glassesshop.com/eyeglasses/fm1263,Rochester,$29.95,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg"
